,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.9081,0.0054738664840964365,0.022550103958946625,0.0037840938134564754,0.6027823460077565,16.780826466900425,40.27032432547685
Band2,0.8741517857142856,0.0056746299775979284,0.027840153831450692,0.00510248232698959,0.6491584265267024,18.327780650498333,31.398956737328323
Band3,0.8620232142857143,0.005465214381869747,0.06461055619654586,0.009062017541005983,0.6339985155038207,14.025599026634671,13.341832434678821
Band4,0.8703375,0.006114519093927175,0.04601016964588637,0.011541860240830582,0.7025457473597512,25.085454649834148,18.916198455656296
Band5,0.889375,0.005590720947631505,0.48123833970992386,0.04385245220991043,0.6286123342382577,9.112418648178235,1.8480967259094294
Band6,0.1628089285714286,0.0009210391619008945,0.160413861762996,0.01963848932183486,0.5657178448274169,12.2423892212319,1.0149305476603463
Band7,0.19971964285714286,0.001252343466531153,0.07183357171944371,0.009577361555835492,0.62705072401263,13.332709660103284,2.7803106274205116
