,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.03183333333333333,0.0018144481867009106,0.041840278228653334,0.006743434034808421,5.6998372357096665,16.11708698005344,0.7608298673198837
Band2,0.033016666666666666,0.0017285993045108967,0.052260166280196675,0.008476931411689106,5.2355355007901965,16.220636127025358,0.631775002200441
Band3,0.06366666666666666,0.0009927515074556951,0.08500214459854505,0.010878802176821715,1.5592955614487358,12.798267888652687,0.7490007101274527
Band4,0.0702,0.0033739195801520423,0.0975842324455699,0.018021294057056332,4.806153248079832,18.467424096519046,0.7193785127034313
Band5,0.2796666666666667,0.022573484937470824,0.30796704268152847,0.05155308827343388,8.071567915662987,16.739806904190523,0.9081058292197601
Band6,0.28365,0.015650851946992107,0.3622490712960624,0.041796716498799416,5.517663298780929,11.538115570388696,0.7830247817755641
Band7,0.16116666666666668,0.010943592747458314,0.22421057060034094,0.04086804010510119,6.790233348991715,18.22752602416286,0.7188183243775287
