,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.015516666666666666,0.0004900396809329718,0.015170701798057759,0.003026970748875081,3.158150467881666,19.95274041483441,1.022804803180114
Band2,0.0194975,0.0017007332977277774,0.020240619348063607,0.004049833415705907,8.722827530338645,20.00844611552536,0.9632857406542404
Band3,0.047817083333333336,0.0026850356595500844,0.05163752198962997,0.007318603515188371,5.615222578158262,14.17303393578437,0.9260142913700649
Band4,0.023055000000000003,0.0030714912230597915,0.022156528710462916,0.007014253615975141,13.322451628973285,31.65772810188818,1.0405510854736375
Band5,0.08383333333333334,0.003949152511052917,0.08661331972496542,0.011893908058692478,4.710718701057157,13.732192804133078,0.9679034771965822
Band6,0.3409608333333333,0.022749065166995812,0.35523985278609266,0.05060319050829684,6.672046447269108,14.244795484353357,0.9598045677004673
Band7,0.41856499999999996,0.0313564285009204,0.4578069589310227,0.07249945830507513,7.491411967297887,15.836250823788495,0.9142827382470277
Band8,0.4566695833333333,0.037638656323338494,0.48573085562795415,0.07180662789418207,8.241988890218073,14.783213185283499,0.9401700098770741
Band8a,0.47318458333333335,0.03122749676155704,0.5010528243663496,0.07163381769071192,6.599432412099303,14.296659794564128,0.9443806327840594
Band11,0.17847083333333333,0.0063180613565836435,0.1734856088543519,0.020164493174485643,3.540108620876601,11.623150362526347,1.028735665810567
Band12,0.07214208333333333,0.0028586746334135723,0.07126997269509402,0.010012325385435736,3.9625617965661357,14.048448465485311,1.0122367191295323
