,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.9081,0.0054738664840964365,0.022318549454739274,0.0044082512293091075,0.6027823460077565,19.751513144923624,40.68812813492087
Band2,0.8741517857142856,0.0056746299775979284,0.027435791873327852,0.005957029272716929,0.6491584265267024,21.71262014313555,31.86172973429305
Band3,0.8620232142857143,0.005465214381869747,0.06424887754373894,0.010972795196450308,0.6339985155038207,17.078578826502174,13.41693812002975
Band4,0.8703375,0.006114519093927175,0.04552457731950286,0.013254542459789248,0.7025457473597512,29.115135692014352,19.1179699240644
Band5,0.889375,0.005590720947631505,0.470937864629293,0.05137433579424234,0.6286123342382577,10.908941423659478,1.888518776675745
Band6,0.1628089285714286,0.0009210391619008945,0.15945544507764933,0.024534480182128286,0.5657178448274169,15.386417296807164,1.0210308496655365
Band7,0.19971964285714286,0.001252343466531153,0.07036958115282287,0.011850422598125483,0.62705072401263,16.840263085252293,2.838153071046539
