,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.023332653061224493,0.0012056648187384793,0.01520655793296255,0.0030432478140906215,5.167285587176199,20.01273284530692,1.534380966691179
Band2,0.019512244897959184,0.001592153291391974,0.017562137800816637,0.003748884143449805,8.159764802657328,21.346399771874484,1.1110404165631742
Band3,0.05029183673469388,0.002072151276359897,0.04843377197574632,0.007120446687855088,4.1202537248563464,14.701408536631671,1.0383629992699723
Band4,0.030661224489795916,0.003925053818766894,0.024410218139348898,0.007239659763425903,12.801360298161464,29.658316538170062,1.2560815439977775
Band5,0.48214285714285715,0.027280036806486628,0.5010448189427458,0.07160333952190695,5.658081708012041,14.290805296220224,0.9622749081813207
Band6,0.17801632653061225,0.0040201709243171116,0.17259563495257477,0.02015727128282162,2.258315853757262,11.678899810160534,1.031406886851611
Band7,0.0758265306122449,0.0021762892505648498,0.07152432725276449,0.010051311916109962,2.870089443619369,14.052997493550656,1.0601502107706176
