,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.027556985294117646,0.00032902891847906275,0.022656384654307398,0.004460145168372317,1.1939946077820702,19.686040983261474,1.2163010875117073
Band2,0.03226470588235294,0.002113247062884254,0.031203135005177806,0.006591075859944421,6.5497174237068965,21.12312066992854,1.034021289110821
Band3,0.06638860294117647,0.0033249915242691878,0.06829306996064503,0.011232902324828922,5.008377005937739,16.44808518829518,0.9721133195422897
Band4,0.04264926470588235,0.0048160042066183965,0.04311006677561909,0.013198092483190193,11.292115444030514,30.61487367181342,0.9893110332643384
Band5,0.11674522058823529,0.005515477482784744,0.11181201553262617,0.020449103749468962,4.724371117716276,18.288824910326404,1.0441205270480938
Band6,0.33120625,0.010231101547667118,0.314270139331144,0.034972348789019045,3.0890424162186307,11.128116996240916,1.053890295479236
Band7,0.42590183823529415,0.014946850578269869,0.42730615985167225,0.04832869774016381,3.509459043473843,11.310086837255005,0.9967135469873274
Band8,0.4698033088235294,0.020760584386083327,0.45971025816413286,0.050645278461288704,4.418994927488166,11.016782323618836,1.021955243504253
Band8a,0.4890801470588235,0.01719692097890911,0.4764265034148514,0.051847734972706255,3.5161764553981727,10.882630290523428,1.026559487252022
Band11,0.17007757352941175,0.008007077108291316,0.16456213938987627,0.025238184689923546,4.707897074335107,15.336568170233802,1.0335158145122825
Band12,0.07276911764705883,0.003450405234211891,0.07268249671264417,0.01222538357859075,4.741579045862388,16.820258152282168,1.001191771586454
