,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.027556985294117646,0.00032902891847906275,0.057402108209657556,0.010193977410336138,1.1939946077820702,17.758890271248024,0.48006921964377175
Band2,0.03226470588235294,0.002113247062884254,0.042023818575896446,0.008163948100131062,6.5497174237068965,19.426954467230754,0.7677718726127133
Band3,0.06638860294117647,0.0033249915242691878,0.0621702183877109,0.0056155820277155296,5.008377005937739,9.032591767162836,1.0678521752514774
Band4,0.04264926470588235,0.0048160042066183965,0.04551001546024295,0.005020523544789148,11.292115444030514,11.031689385328866,0.9371401937479077
Band5,0.11674522058823529,0.005515477482784744,0.11152738948214583,0.008229538761369613,4.724371117716276,7.3789396484413015,1.0467851989571115
Band6,0.33120625,0.010231101547667118,0.3005868692526192,0.01911906014425759,3.0890424162186307,6.360577290616627,1.1018653303902228
Band7,0.42590183823529415,0.014946850578269869,0.41873605527575075,0.027157517125433486,3.509459043473843,6.48559319964683,1.0171128873887503
Band8,0.4698033088235294,0.020760584386083327,0.468779121707731,0.027757645369968473,4.418994927488166,5.921263146031169,1.0021847967803414
Band8a,0.4890801470588235,0.01719692097890911,0.4965088665766143,0.02671190265277928,3.5161764553981727,5.379944740353891,0.9850380929367664
Band11,0.17007757352941175,0.008007077108291316,0.5543932810220851,0.023580472096111815,4.707897074335107,4.2533834559896935,0.30678144802883434
Band12,0.07276911764705883,0.003450405234211891,0.5340078246560156,0.022741323522452263,4.741579045862388,4.258612415857619,0.13626975914432246
