,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.054746190476190476,0.0033827024645568253,0.13990938354866125,0.006765167610352448,6.1788819187848105,4.835392336640155,0.3912974890433239
Band2,0.053084285714285716,0.0059300357916117095,0.16584047023661763,0.010388133053855103,11.170981603725064,6.26393125817452,0.32009246982082357
Band3,0.08205,0.008573965299228879,0.197555992862509,0.01325439474850325,10.449683484739644,6.709183840212721,0.41532528986404116
Band4,0.06705,0.009252681721945214,0.2723615413056989,0.01792598074932606,13.799674454802705,6.581685748798844,0.24618013130107458
Band5,0.13750666666666667,0.013045325867303083,0.30788495063860255,0.0189013652751941,9.487049743505588,6.139100087870371,0.4466170443909515
Band6,0.29818666666666666,0.028201383169951307,0.3417326568333068,0.019694391061936687,9.457627158586783,5.7630989219574005,0.8725729329758456
Band7,0.37278761904761903,0.03627283305919996,0.41171405462790195,0.021964819678284946,9.730160339516681,5.334969606062213,0.9054527404572968
Band8,0.414187619047619,0.05071214130051547,0.5163767561095993,0.023621263462318142,12.243760790610477,4.574424232469636,0.8021035303140349
Band8a,0.4332619047619048,0.04249128959692771,0.5939128062120338,0.025409016303318845,9.807298802390305,4.278240178954405,0.7295042306382349
Band11,0.18913238095238097,0.02131117299284734,0.0,0.0,11.267860577619961,,inf
Band12,0.08980809523809523,0.010691834053122089,0.0,0.0,11.90520077814408,,inf
