,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.027556985294117646,0.00032902891847906275,0.05678496408702419,0.006875208204568755,1.1939946077820702,12.107444840560873,0.4852866553175233
Band2,0.03226470588235294,0.002113247062884254,0.041464115305493515,0.005644374162853685,6.5497174237068965,13.612672358418486,0.7781356395677936
Band3,0.06638860294117647,0.0033249915242691878,0.061690906556336945,0.004777916330727027,5.008377005937739,7.744928057368991,1.076148927728101
Band4,0.04264926470588235,0.0048160042066183965,0.045133941357445424,0.004521604562708085,11.292115444030514,10.018191247466111,0.9449488217329552
Band5,0.11674522058823529,0.005515477482784744,0.1112203263570956,0.008308048143458677,4.724371117716276,7.469900885548555,1.0496752204574629
Band6,0.33120625,0.010231101547667118,0.30034163058662794,0.017705703350267457,3.0890424162186307,5.89518786179746,1.1027650391092543
Band7,0.42590183823529415,0.014946850578269869,0.4185386281111371,0.024818155227997792,3.509459043473843,5.929716771902753,1.0175926655978855
Band8,0.4698033088235294,0.020760584386083327,0.4686820388847264,0.025129137374694167,4.418994927488166,5.361659993306197,1.0023923893936093
Band8a,0.4890801470588235,0.01719692097890911,0.4964264292484468,0.024148768925250984,3.5161764553981727,4.864521206457611,0.985201669861242
Band11,0.17007757352941175,0.008007077108291316,0.5543217579066567,0.021421005893499368,4.707897074335107,3.8643631767935207,0.3068210314740188
Band12,0.07276911764705883,0.003450405234211891,0.5339364017596501,0.020666411308480317,4.741579045862388,3.870575454374666,0.13628798749671248
