,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.9081,0.0054738664840964365,0.023045761039010588,0.0038734255144866527,0.6027823460077565,16.8075400414416,39.404209670612246
Band2,0.8741517857142856,0.0056746299775979284,0.028452291372106732,0.005222426677641262,0.6491584265267024,18.35503021300098,30.72342309031962
Band3,0.8620232142857143,0.005465214381869747,0.06591438939854015,0.009255694205152171,0.6339985155038207,14.041993394172538,13.0779215608543
Band4,0.8703375,0.006114519093927175,0.046912791934218254,0.011778666163856037,0.7025457473597512,25.10757871834241,18.552242663800502
Band5,0.889375,0.005590720947631505,0.487155030495326,0.04424565553846125,0.6286123342382577,9.082458923491659,1.8256508592258767
Band6,0.1628089285714286,0.0009210391619008945,0.16513845601511298,0.020159534318736776,0.5657178448274169,12.207655809069594,0.9858934890158402
Band7,0.19971964285714286,0.001252343466531153,0.0743388172258194,0.00989724642771054,0.62705072401263,13.313699083542888,2.686613135778761
