,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.02754848484848485,0.00038267100524508004,0.06164943721388699,0.005375028069617005,1.3890818582210582,8.718697708413533,0.4468570370384395
Band2,0.03306515151515151,0.002300756952135695,0.04787950137350837,0.007408948707559032,6.95825316596966,15.474155943608862,0.690590974563624
Band3,0.0663810606060606,0.0032301170955357575,0.06436002022758695,0.010425414841215555,4.86602212445043,16.198588509372247,1.031402109124996
Band4,0.04895,0.005455432377387005,0.059720166817641133,0.013348617782662782,11.144907818972431,22.351943227860584,0.8196561163245166
Band5,0.12506060606060604,0.0052161572639623805,0.114070381053821,0.015809939435715334,4.170903554900863,13.859811188196035,1.0963460006467376
Band6,0.3116651515151515,0.006382065126592916,0.24768131944061986,0.016610857151868563,2.0477313859334876,6.706544195332793,1.2583312791575765
Band7,0.3969712121212121,0.008742793831796998,0.33364962446145136,0.01913616850135673,2.202374772991713,5.735408374052479,1.1897846813463946
Band8,0.4439401515151515,0.012272196093069086,0.42754906876081306,0.019613648017120438,2.764380750690049,4.587461288120135,1.038337313660501
Band8a,0.4562969696969697,0.010170880443652934,0.4961396917691753,0.020771645912498513,2.2290045998787793,4.186652722427687,0.9196945482629476
Band11,0.16931969696969698,0.006559880812317324,0.6514472631734605,0.017095503412432933,3.8742573544124292,2.624234435977809,0.2599131296444058
Band12,0.07757727272727273,0.003625176921682392,0.6294281371043405,0.016565785551651325,4.672988356302374,2.6318787761636413,0.12325040485823201
