,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.020659821428571427,0.0009529990089026263,0.025493835437244195,0.0031692720274350008,4.612813388525613,12.431523044998478,0.8103849842220794
Band2,0.02715267857142857,0.0025282143550844536,0.030779681939835248,0.004107520006366072,9.311104790025281,13.344907248863072,0.8821624155994742
Band3,0.06269910714285715,0.002541073154050212,0.07165604776747936,0.006755916025882444,4.052805964621616,9.428256562244524,0.8750009119441379
Band4,0.031239732142857145,0.004935628661619045,0.03352215644984523,0.0077818403808263105,15.799202883842778,23.214020829683943,0.9319129629860485
Band5,0.10682053571428571,0.004121809120676977,0.11601611334033951,0.011583940839009753,3.85862989088693,9.984768930353356,0.9207387891104567
Band6,0.36502410714285716,0.020865888711071142,0.3843621068896005,0.04826491559015235,5.716304294090087,12.55714721222906,0.949688069140755
Band7,0.41925446428571433,0.02880920112318054,0.4589786580791984,0.06522574236812696,6.871531152867484,14.21106215288817,0.9134508912468223
Band8,0.445490625,0.036420863962188375,0.4824655704311067,0.06718843913051446,8.175450148291757,13.926058821249834,0.9233625201523338
Band8a,0.46053392857142855,0.031037215718655028,0.4961073551169913,0.06848641397648764,6.739398292528011,13.804756827347838,0.9282949019427985
Band11,0.19281160714285714,0.0069830310336623765,0.0,0.0,3.6216860266553037,,inf
Band12,0.08465535714285714,0.005346808782644398,0.0,0.0,6.315972152384379,,inf
