"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,6.74081936293565e-07
349.1763299,6.74851391464384e-07
349.5565731,6.72345404472631e-07
349.9367708,6.73515083270206e-07
350.316923,6.25141352659104e-07
350.6970297,6.51506972936998e-07
351.0770909,6.53435430646398e-07
351.4571067,6.30267126812995e-07
351.837077,6.49025067634685e-07
352.2170017,6.47330550644019e-07
352.596881,6.52553512588138e-07
352.9767149,7.05152320806225e-07
353.3565032,6.46433448394166e-07
353.736246,6.45798248811677e-07
354.1159433,6.16051295731898e-07
354.4955952,6.38232133827414e-07
354.8752015,6.60017481925429e-07
355.2547624,6.32963371914342e-07
355.6342777,6.4522123714911e-07
356.0137476,6.71991550738128e-07
356.3931719,6.4836529127931e-07
356.7725508,6.19210346532741e-07
357.1518841,6.49732954560306e-07
357.5311719,6.80225460816481e-07
357.9104143,6.43899185192979e-07
358.2896111,6.54018091829584e-07
358.6687624,6.28711104289745e-07
359.0478682,6.39142353742873e-07
359.4269285,6.4861412738785e-07
359.8059433,6.38069725967537e-07
360.1849125,6.24695121150502e-07
360.5638363,6.31023319277107e-07
360.9427145,6.32440364812256e-07
361.3215472,6.43145585700083e-07
361.7003344,6.29668470845468e-07
362.079076,6.15612919206046e-07
362.4577722,6.26920827883371e-07
362.8364228,6.3110810180955e-07
363.2150279,6.31274182580253e-07
363.5935874,6.36195403902142e-07
363.9721015,6.26453351970003e-07
364.35057,6.19576990518167e-07
364.7289929,6.22182794783044e-07
365.1073704,6.07486559987967e-07
365.4857023,6.31744494395173e-07
365.8639886,6.37925137247695e-07
366.2422294,6.41077650214373e-07
366.6204247,6.22307902388744e-07
366.9985745,6.035552832703e-07
367.3766787,6.07895660516153e-07
367.7547373,6.07187974441122e-07
368.1327504,6.07128986531583e-07
368.510718,5.83004500852745e-07
368.88864,5.95094197048308e-07
369.2665165,6.22537287951631e-07
369.6443474,6.24494891970355e-07
370.0221328,6.60032794694742e-07
370.3998726,6.97190088603056e-07
370.7775668,7.20457619707735e-07
371.1552155,6.63445638708778e-07
371.5328187,6.4680592799661e-07
371.9103763,6.06910280046995e-07
372.2878883,6.00800540214158e-07
372.6653548,6.06719662260134e-07
373.0427757,6.56138914661944e-07
373.420151,6.65443084346326e-07
373.7974808,6.64853535066959e-07
374.174765,6.79606341620485e-07
374.5520036,6.59548200375429e-07
374.9291967,6.39101824525487e-07
375.3063442,6.59845884920399e-07
375.6834461,6.51984130483405e-07
376.0605024,6.46204533973047e-07
376.4375132,6.43873093706507e-07
376.8144784,6.47115086177082e-07
377.191398,6.4565165817307e-07
377.568272,6.29678087570331e-07
377.9451005,6.2948668294965e-07
378.3218833,6.53687756845679e-07
378.6986206,6.43488872753586e-07
379.0753123,6.39966961651761e-07
379.4519584,6.35691700732916e-07
379.828559,6.17612902927667e-07
380.2051139,6.22679138950967e-07
380.5816232,6.16561125486168e-07
380.958087,6.17696903156786e-07
381.3345051,6.19500915409017e-07
381.7108777,6.1018461336823e-07
382.0872046,6.18905941235387e-07
382.463486,6.11766936165109e-07
382.8397218,6.11397261452538e-07
383.2159119,6.04562305881071e-07
383.5920565,6.04708994327458e-07
383.9681554,6.16001656353807e-07
384.3442088,6.06142779055057e-07
384.7202165,6.05585252289426e-07
385.0961787,5.94229901160511e-07
385.4720952,6.05562833882419e-07
385.8479661,5.95691120253718e-07
386.2237914,5.89968117185746e-07
386.5995711,5.64332050712561e-07
386.9753052,5.58038708379989e-07
387.3509936,5.66330209214716e-07
387.7266364,5.74112697972063e-07
388.1022337,5.79632193018398e-07
388.4777853,5.8622736279889e-07
388.8532912,5.79428893941525e-07
389.2287516,5.82922195872475e-07
389.6041663,5.73374107691128e-07
389.9795354,5.74606825207538e-07
390.3548589,5.76048762074025e-07
390.7301367,5.7049157494304e-07
391.1053689,5.6174536142445e-07
391.4805555,5.60821891581428e-07
391.8556964,5.6786122772855e-07
392.2307918,5.61045105514211e-07
392.6058414,5.54002291663677e-07
392.9808455,5.55179728747612e-07
393.3558039,5.56925117769861e-07
393.7307166,5.45820992876241e-07
394.1055837,5.41165346276108e-07
394.4804052,5.48524563863183e-07
394.855181,5.37850879686407e-07
395.2299112,5.37724049530832e-07
395.6045957,5.40931808667922e-07
395.9792346,5.34818913211229e-07
396.3538278,5.4082511639426e-07
396.7283754,5.2751321329783e-07
397.1028773,5.27325328426005e-07
397.4773336,5.23737309023053e-07
397.8517442,5.18402138647386e-07
398.2261092,5.19740558685233e-07
398.6004285,5.19464437375312e-07
