"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,2.64056817809217e-07
349.1763299,2.74022876735665e-07
349.5565731,2.79336401530526e-07
349.9367708,2.61144034747804e-07
350.316923,2.51370311764171e-07
350.6970297,2.68119491586371e-07
351.0770909,2.70880109577878e-07
351.4571067,2.65129192758422e-07
351.837077,2.663312916607e-07
352.2170017,2.63610134615812e-07
352.596881,2.58001463422115e-07
352.9767149,2.48913221025155e-07
353.3565032,2.68289250055381e-07
353.736246,2.71149247077219e-07
354.1159433,2.65904410861308e-07
354.4955952,2.62806048450745e-07
354.8752015,2.68348374198953e-07
355.2547624,2.75085852916617e-07
355.6342777,2.6276704216402e-07
356.0137476,2.64051496398851e-07
356.3931719,2.67407601891876e-07
356.7725508,2.6217631086182e-07
357.1518841,2.51980029480724e-07
357.5311719,2.67110693391617e-07
357.9104143,2.54406732272186e-07
358.2896111,2.57154324365701e-07
358.6687624,2.65291219833676e-07
359.0478682,2.58856703581213e-07
359.4269285,2.5889514214204e-07
359.8059433,2.70747812802623e-07
360.1849125,2.76059760730525e-07
360.5638363,2.56351422130539e-07
360.9427145,2.59922526256666e-07
361.3215472,2.58684395591986e-07
361.7003344,2.58487313564283e-07
362.079076,2.57174414204511e-07
362.4577722,2.57538667947274e-07
362.8364228,2.5439927638022e-07
363.2150279,2.56574354204925e-07
363.5935874,2.56832698463759e-07
363.9721015,2.46677150741392e-07
364.35057,2.5683070226313e-07
364.7289929,2.50136943978785e-07
365.1073704,2.5657124968082e-07
365.4857023,2.51103237763249e-07
365.8639886,2.57712652971399e-07
366.2422294,2.49944130704333e-07
366.6204247,2.55714094396132e-07
366.9985745,2.56025826146057e-07
367.3766787,2.51174586667197e-07
367.7547373,2.56447366211351e-07
368.1327504,2.5361049564724e-07
368.510718,2.51479025742653e-07
368.88864,2.43561399247108e-07
369.2665165,2.50167256654691e-07
369.6443474,2.54639342323569e-07
370.0221328,2.78324856453495e-07
370.3998726,2.89767746880624e-07
370.7775668,2.87837888933718e-07
371.1552155,2.699671615469e-07
371.5328187,2.61990280496736e-07
371.9103763,2.45716460319536e-07
372.2878883,2.45429061474853e-07
372.6653548,2.52959568006089e-07
373.0427757,2.5885704754568e-07
373.420151,2.71141222193987e-07
373.7974808,2.6997992789767e-07
374.174765,2.68974119248689e-07
374.5520036,2.58962817163083e-07
374.9291967,2.67132915956062e-07
375.3063442,2.73548609248244e-07
375.6834461,2.65741388449881e-07
376.0605024,2.65813757671302e-07
376.4375132,2.63640800664374e-07
376.8144784,2.61468188530876e-07
377.191398,2.6488808555379e-07
377.568272,2.58501199300154e-07
377.9451005,2.60019975831263e-07
378.3218833,2.59040806959664e-07
378.6986206,2.66443506304229e-07
379.0753123,2.55506005005992e-07
379.4519584,2.5792428946972e-07
379.828559,2.55304051698548e-07
380.2051139,2.57979679453601e-07
380.5816232,2.53672688065271e-07
380.958087,2.57807717794405e-07
381.3345051,2.55342571096712e-07
381.7108777,2.51548461221263e-07
382.0872046,2.52197633300461e-07
382.463486,2.57769385277323e-07
382.8397218,2.49425276073913e-07
383.2159119,2.46214785366848e-07
383.5920565,2.50834611535146e-07
383.9681554,2.5241158707701e-07
384.3442088,2.51718849499313e-07
384.7202165,2.43198476187449e-07
385.0961787,2.47462057098898e-07
385.4720952,2.48538267594316e-07
385.8479661,2.42934509593641e-07
386.2237914,2.42176763071456e-07
386.5995711,2.2887625978399e-07
386.9753052,2.33837314185824e-07
387.3509936,2.34860642955393e-07
387.7266364,2.35377127813758e-07
388.1022337,2.39454343321412e-07
388.4777853,2.38966643366787e-07
388.8532912,2.3900749922315e-07
389.2287516,2.38824676598212e-07
389.6041663,2.41514902111664e-07
389.9795354,2.35106985481492e-07
390.3548589,2.34795678022635e-07
390.7301367,2.37108250644727e-07
391.1053689,2.32843335546129e-07
391.4805555,2.32966569206847e-07
391.8556964,2.3186114994943e-07
392.2307918,2.28468106584493e-07
392.6058414,2.31738163126041e-07
392.9808455,2.26736645189777e-07
393.3558039,2.28032006568499e-07
393.7307166,2.30070622581727e-07
394.1055837,2.27145958928021e-07
394.4804052,2.23251669268656e-07
394.855181,2.2388235288479e-07
395.2299112,2.21797436907112e-07
395.6045957,2.21327066979454e-07
395.9792346,2.20372317399492e-07
396.3538278,2.17084533787066e-07
396.7283754,2.17395929158806e-07
397.1028773,2.1657987611466e-07
397.4773336,2.15362228551193e-07
397.8517442,2.16261936035375e-07
398.2261092,2.11932738515353e-07
398.6004285,2.12673323245177e-07
