"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,4.55263425632439e-08
349.1763299,4.60567861851875e-08
349.5565731,4.39836490886806e-08
349.9367708,4.56692215422426e-08
350.316923,4.70578819422079e-08
350.6970297,4.65094676991522e-08
351.0770909,4.46758510509632e-08
351.4571067,4.34964058944833e-08
351.837077,4.54611570902422e-08
352.2170017,4.77892399489225e-08
352.596881,4.43912381890368e-08
352.9767149,4.4833307975317e-08
353.3565032,4.46642483940238e-08
353.736246,4.53349062475346e-08
354.1159433,4.32047292900758e-08
354.4955952,4.40806533214694e-08
354.8752015,4.5063608809888e-08
355.2547624,4.29877408434628e-08
355.6342777,4.2827702421184e-08
356.0137476,4.5044915119586e-08
356.3931719,4.65063021259408e-08
356.7725508,4.50132716307628e-08
357.1518841,4.53387633948749e-08
357.5311719,4.50567680462351e-08
357.9104143,4.38025741571049e-08
358.2896111,4.45125626410305e-08
358.6687624,4.63717914872325e-08
359.0478682,4.47274605837203e-08
359.4269285,4.49212785897039e-08
359.8059433,4.25913819575466e-08
360.1849125,4.22172069717109e-08
360.5638363,4.14549744394915e-08
360.9427145,4.25825676168908e-08
361.3215472,4.31593927464419e-08
361.7003344,4.45634244846985e-08
362.079076,4.4173938756514e-08
362.4577722,4.11568599745949e-08
362.8364228,4.29656256310592e-08
363.2150279,4.35342661391696e-08
363.5935874,4.30064045072012e-08
363.9721015,4.32171256160415e-08
364.35057,4.23108035665652e-08
364.7289929,4.29021042286357e-08
365.1073704,4.11499643551031e-08
365.4857023,4.25257653890326e-08
365.8639886,4.14909325681674e-08
366.2422294,4.09449108317663e-08
366.6204247,4.04787778842866e-08
366.9985745,4.112570495971e-08
367.3766787,4.14444477247913e-08
367.7547373,4.13497662632452e-08
368.1327504,4.2479460072457e-08
368.510718,4.19938165948617e-08
368.88864,4.40370535552028e-08
369.2665165,4.32430625232567e-08
369.6443474,4.20925639741871e-08
370.0221328,4.50249779274178e-08
370.3998726,4.40066613514937e-08
370.7775668,4.35715562225467e-08
371.1552155,4.30512609966084e-08
371.5328187,4.32593853934366e-08
371.9103763,4.33412120327248e-08
372.2878883,4.27003621390512e-08
372.6653548,4.24777605782793e-08
373.0427757,4.16101808322755e-08
373.420151,4.22331252701177e-08
373.7974808,4.42684162794394e-08
374.174765,4.40086872912997e-08
374.5520036,4.32751220446785e-08
374.9291967,4.4183313045242e-08
375.3063442,4.39696260679804e-08
375.6834461,4.40590222278685e-08
376.0605024,4.31128821637635e-08
376.4375132,4.2210836525827e-08
376.8144784,4.22972329417811e-08
377.191398,4.26373661214695e-08
377.568272,4.2443131842136e-08
377.9451005,4.14036210185115e-08
378.3218833,4.14266023760872e-08
378.6986206,4.2131747372978e-08
379.0753123,4.16182303779201e-08
379.4519584,4.15947141370337e-08
379.828559,4.21206093138887e-08
380.2051139,4.09195242159161e-08
380.5816232,4.04809140952962e-08
380.958087,4.05250199716478e-08
381.3345051,4.04448318429829e-08
381.7108777,4.03174882365676e-08
382.0872046,4.01954719296268e-08
382.463486,3.95860316075153e-08
382.8397218,3.94524581470054e-08
383.2159119,3.95484062646252e-08
383.5920565,4.00307732238251e-08
383.9681554,4.04980875220896e-08
384.3442088,3.94215966470179e-08
384.7202165,3.9350293531189e-08
385.0961787,3.99329170770484e-08
385.4720952,3.92463249484297e-08
385.8479661,3.90507196022302e-08
386.2237914,3.87553386076372e-08
386.5995711,3.77413462519378e-08
386.9753052,3.73769349048818e-08
387.3509936,3.73570813745126e-08
387.7266364,3.76907629296723e-08
388.1022337,3.78508563741854e-08
388.4777853,3.82520023014463e-08
388.8532912,3.77934593208748e-08
389.2287516,3.84802353656605e-08
389.6041663,3.85566060853852e-08
389.9795354,3.72470092078532e-08
390.3548589,3.7436240154502e-08
390.7301367,3.73802379174207e-08
391.1053689,3.74494390490659e-08
391.4805555,3.71598726672186e-08
391.8556964,3.68767893487147e-08
392.2307918,3.68561799644693e-08
392.6058414,3.68461205621525e-08
392.9808455,3.64881985281959e-08
393.3558039,3.64177852266726e-08
393.7307166,3.65424052117924e-08
394.1055837,3.6193242370884e-08
394.4804052,3.5407904791987e-08
394.855181,3.57304334872961e-08
395.2299112,3.60383542036287e-08
395.6045957,3.55610957038663e-08
395.9792346,3.54027393236127e-08
396.3538278,3.52201924862675e-08
396.7283754,3.49313211001373e-08
397.1028773,3.44120041580069e-08
397.4773336,3.47108712448545e-08
397.8517442,3.40534880702076e-08
398.2261092,3.43243406476166e-08
398.6004285,3.39897686639368e-08
