Wavelength,rad_cal_mean
349.377,8.065424244635607e-05
349.756,7.259787756571954e-05
350.135,6.98383953752651e-05
350.514,7.084916826925499e-05
350.892,7.236711858627527e-05
351.271,7.311587781492747e-05
351.649,7.398215157572895e-05
352.028,7.512504488386522e-05
352.406,7.456672008481333e-05
352.785,7.109792059665715e-05
353.163,6.792885132424017e-05
353.541,6.597067671484062e-05
353.92,6.494460283174541e-05
354.298,6.447034633423843e-05
354.676,6.527391535083217e-05
355.054,6.655506601893041e-05
355.433,6.819417842291646e-05
355.811,7.011680557992474e-05
356.189,7.356506032469102e-05
356.567,7.766039143370973e-05
356.945,7.887414089905972e-05
357.323,7.972732009318914e-05
357.701,8.287147390951619e-05
358.078,8.508164961315364e-05
358.456,8.085571737604126e-05
358.834,7.312875328031049e-05
359.212,6.734130014671845e-05
359.59,6.648771700107818e-05
359.967,6.91956207941047e-05
360.345,7.352228416983962e-05
360.722,7.564618402149414e-05
361.1,7.655444457426885e-05
361.477,7.601901769716573e-05
361.855,7.449076390980282e-05
362.232,7.225257827100584e-05
362.61,7.300867008721316e-05
362.987,7.511205310850355e-05
363.364,7.548616286507629e-05
363.742,7.539345973618986e-05
364.119,7.70857828469132e-05
364.496,7.803129625870729e-05
364.873,7.524871018032534e-05
365.25,7.204177273628632e-05
365.627,7.059451054769514e-05
366.004,7.139268975230365e-05
366.381,7.295287480535548e-05
366.758,7.410455613462352e-05
367.135,7.54903992091342e-05
367.512,7.790508016927993e-05
367.889,7.985256159508305e-05
368.266,7.968219209528633e-05
368.643,7.769123260951796e-05
369.019,7.52780759514288e-05
369.396,7.355860664585925e-05
369.773,7.529241874484958e-05
370.149,7.823797698173652e-05
370.526,7.882935920421814e-05
370.902,7.636943828866343e-05
371.279,7.64450544339341e-05
371.655,7.997046119710833e-05
372.031,8.280209610330256e-05
372.408,8.277817791265965e-05
372.784,8.704822793714752e-05
373.16,9.188033072180427e-05
373.537,9.309259367414025e-05
373.913,9.242048548811668e-05
374.289,9.358555843797713e-05
374.665,9.163656551252795e-05
375.041,8.641891675959476e-05
375.417,8.300081769148804e-05
375.793,8.252988840625069e-05
376.169,8.216627179259232e-05
376.545,7.974642175251074e-05
376.921,7.498270770707771e-05
377.297,7.014514750587054e-05
377.672,6.656882294145637e-05
378.048,6.669484656208266e-05
378.424,7.007895624335749e-05
378.8,7.512255255843515e-05
379.175,7.857053814407345e-05
379.551,7.861670831783926e-05
379.926,7.561246394982987e-05
380.302,7.225500705129823e-05
