"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,1.08600384223384e-07
349.1763299,1.08381592037513e-07
349.5565731,1.03862843107337e-07
349.9367708,1.04677703122729e-07
350.316923,1.02655335628218e-07
350.6970297,1.12197367806112e-07
351.0770909,1.00768633560552e-07
351.4571067,1.06742842807049e-07
351.837077,1.05253779697195e-07
352.2170017,1.0076605518562e-07
352.596881,1.07306340972837e-07
352.9767149,1.006457665817e-07
353.3565032,1.0627896254491e-07
353.736246,9.96502743847663e-08
354.1159433,9.92262849168106e-08
354.4955952,1.00333323261996e-07
354.8752015,1.01599369212267e-07
355.2547624,1.03458601920318e-07
355.6342777,1.03706433237039e-07
356.0137476,1.01229276156931e-07
356.3931719,9.77159990555818e-08
356.7725508,9.32055659368386e-08
357.1518841,1.03175373522379e-07
357.5311719,9.91958479100889e-08
357.9104143,1.01211136392485e-07
358.2896111,9.62437565136236e-08
358.6687624,9.67438876317213e-08
359.0478682,9.84972807866271e-08
359.4269285,9.79309587214568e-08
359.8059433,1.00481336367813e-07
360.1849125,1.03364207573811e-07
360.5638363,9.50850535804277e-08
360.9427145,9.94274096702107e-08
361.3215472,1.00647874649076e-07
361.7003344,9.70223603500598e-08
362.079076,1.00301761914089e-07
362.4577722,9.73231565536123e-08
362.8364228,1.00001720295934e-07
363.2150279,1.01453382186507e-07
363.5935874,9.82135579894297e-08
363.9721015,9.68006543477819e-08
364.35057,9.68442705045304e-08
364.7289929,9.71309351542535e-08
365.1073704,9.80720578199299e-08
365.4857023,9.62167760052535e-08
365.8639886,9.60761205235064e-08
366.2422294,9.45302088241909e-08
366.6204247,9.5613590079247e-08
366.9985745,9.21065860027878e-08
367.3766787,9.31119580684457e-08
367.7547373,9.4151555208988e-08
368.1327504,9.60958623716422e-08
368.510718,9.12066064582614e-08
368.88864,9.23348070041588e-08
369.2665165,9.80524953442435e-08
369.6443474,9.86887899654533e-08
370.0221328,1.03369665059279e-07
370.3998726,1.04602218801209e-07
370.7775668,1.05679721782688e-07
371.1552155,1.01146343703976e-07
371.5328187,1.01121483180807e-07
371.9103763,9.90282822550386e-08
372.2878883,9.76610053072502e-08
372.6653548,9.6855226378649e-08
373.0427757,9.62571669608752e-08
373.420151,1.01141695768612e-07
373.7974808,1.02666444082162e-07
374.174765,1.02009658048751e-07
374.5520036,9.89650984052284e-08
374.9291967,1.02618394677403e-07
375.3063442,1.01649983662915e-07
375.6834461,9.99189002501932e-08
376.0605024,1.00513967165035e-07
376.4375132,9.91726719115148e-08
376.8144784,9.91693039109608e-08
377.191398,1.00262129901175e-07
377.568272,9.77642798716067e-08
377.9451005,9.92703441986169e-08
378.3218833,9.85359129409522e-08
378.6986206,9.92622049185329e-08
379.0753123,9.5450700818686e-08
379.4519584,9.49619463576511e-08
379.828559,9.604301567298e-08
380.2051139,9.6401758960173e-08
380.5816232,9.41482535934847e-08
380.958087,9.69534188077819e-08
381.3345051,9.32342498263921e-08
381.7108777,9.59141252580251e-08
382.0872046,9.56012792283883e-08
382.463486,9.55914663645454e-08
382.8397218,9.31221200884447e-08
383.2159119,9.56769455073213e-08
383.5920565,9.37979858514265e-08
383.9681554,9.21334253960349e-08
384.3442088,9.21604616714616e-08
384.7202165,9.13728884403437e-08
385.0961787,9.24548512737187e-08
385.4720952,9.25285152850901e-08
385.8479661,9.16814209915051e-08
386.2237914,9.1871973748199e-08
386.5995711,8.90459346409351e-08
386.9753052,8.92684355415881e-08
387.3509936,8.78289489225717e-08
387.7266364,8.91175370329067e-08
388.1022337,8.97500566683546e-08
388.4777853,9.16247918908143e-08
388.8532912,8.903838453843e-08
389.2287516,9.02091795277057e-08
389.6041663,8.94411089224903e-08
389.9795354,8.89884504021949e-08
390.3548589,8.87484611050684e-08
390.7301367,8.8864271202178e-08
391.1053689,8.77912231412695e-08
391.4805555,8.70576229179358e-08
391.8556964,8.62502694795027e-08
392.2307918,8.6645457084898e-08
392.6058414,8.70783405818915e-08
392.9808455,8.62222631904894e-08
393.3558039,8.58234959729761e-08
393.7307166,8.65366476300269e-08
394.1055837,8.649629132401e-08
394.4804052,8.39373483748112e-08
394.855181,8.59489636431149e-08
395.2299112,8.41439956408507e-08
395.6045957,8.36715604396892e-08
395.9792346,8.2922344305112e-08
396.3538278,8.24347435951022e-08
396.7283754,8.33954773105526e-08
397.1028773,8.22705010090287e-08
397.4773336,8.16886110736322e-08
397.8517442,8.12133073818652e-08
398.2261092,8.10995527869761e-08
398.6004285,8.06105415884875e-08
