"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,4.11061322732687e-08
349.1763299,3.8629636676667e-08
349.5565731,3.89791638758412e-08
349.9367708,3.77046674185206e-08
350.316923,3.84177472820884e-08
350.6970297,3.70527639698802e-08
351.0770909,3.93133713749672e-08
351.4571067,3.77162661451988e-08
351.837077,3.83372611841226e-08
352.2170017,3.7974134886128e-08
352.596881,3.83120315286345e-08
352.9767149,3.75787327893996e-08
353.3565032,3.77077649632343e-08
353.736246,3.45677715339525e-08
354.1159433,3.75732748347839e-08
354.4955952,3.60031016473424e-08
354.8752015,3.72457021911487e-08
355.2547624,3.69837541387088e-08
355.6342777,3.68607048782824e-08
356.0137476,3.73079902905091e-08
356.3931719,3.62470837140416e-08
356.7725508,3.73354230874336e-08
357.1518841,3.84698345314317e-08
357.5311719,3.54980490561503e-08
357.9104143,3.72431192742788e-08
358.2896111,3.62063851405537e-08
358.6687624,3.73996630789572e-08
359.0478682,3.59500513369851e-08
359.4269285,3.62506384355611e-08
359.8059433,3.73785383335628e-08
360.1849125,3.88045281603275e-08
360.5638363,3.56239275588155e-08
360.9427145,3.68472775645263e-08
361.3215472,3.45501884090777e-08
361.7003344,3.58703807444532e-08
362.079076,3.54249249180907e-08
362.4577722,3.58888820496838e-08
362.8364228,3.6698874546364e-08
363.2150279,3.46324979517021e-08
363.5935874,3.72122177654899e-08
363.9721015,3.53469862683659e-08
364.35057,3.43292133688751e-08
364.7289929,3.54890636473634e-08
365.1073704,3.51594980292745e-08
365.4857023,3.60864516455029e-08
365.8639886,3.54309123045005e-08
366.2422294,3.61847657954988e-08
366.6204247,3.51844307965667e-08
366.9985745,3.3926367487316e-08
367.3766787,3.51632875523274e-08
367.7547373,3.54039497739632e-08
368.1327504,3.59351811504264e-08
368.510718,3.66232771039439e-08
368.88864,3.7166421911916e-08
369.2665165,3.61288599881659e-08
369.6443474,3.57735170582774e-08
370.0221328,3.67107308347735e-08
370.3998726,3.69761004730144e-08
370.7775668,3.65198255958665e-08
371.1552155,3.65211104184042e-08
371.5328187,3.86862927930036e-08
371.9103763,3.70802423957377e-08
372.2878883,3.68448023886708e-08
372.6653548,3.55461980762388e-08
373.0427757,3.54376838854796e-08
373.420151,3.66752674729316e-08
373.7974808,3.64222123820903e-08
374.174765,3.63695930916307e-08
374.5520036,3.65783726214645e-08
374.9291967,3.71202024204846e-08
375.3063442,3.67894991449897e-08
375.6834461,3.56904241720278e-08
376.0605024,3.70762422811652e-08
376.4375132,3.66620005471717e-08
376.8144784,3.57292222032141e-08
377.191398,3.63699871510339e-08
377.568272,3.58919996473248e-08
377.9451005,3.61625820453692e-08
378.3218833,3.58130987829428e-08
378.6986206,3.61729717627772e-08
379.0753123,3.54305079860049e-08
379.4519584,3.40670554368114e-08
379.828559,3.45557932225062e-08
380.2051139,3.49748899520747e-08
380.5816232,3.42207761199533e-08
380.958087,3.42241466350173e-08
381.3345051,3.48023039133398e-08
381.7108777,3.45792231724725e-08
382.0872046,3.47073595198521e-08
382.463486,3.46216086587764e-08
382.8397218,3.37978584008817e-08
383.2159119,3.45305491982099e-08
383.5920565,3.42501202877241e-08
383.9681554,3.39290348968646e-08
384.3442088,3.38553783800985e-08
384.7202165,3.36166690497295e-08
385.0961787,3.38799195373736e-08
385.4720952,3.46366741421511e-08
385.8479661,3.30598679619556e-08
386.2237914,3.34269317903059e-08
386.5995711,3.24086428191237e-08
386.9753052,3.23047181206262e-08
387.3509936,3.24751229376281e-08
387.7266364,3.24387058274807e-08
388.1022337,3.28506750166014e-08
388.4777853,3.31504223839982e-08
388.8532912,3.30500670685442e-08
389.2287516,3.29023187377755e-08
389.6041663,3.28557787946279e-08
389.9795354,3.25515204646953e-08
390.3548589,3.19438046206826e-08
390.7301367,3.24223315447964e-08
391.1053689,3.16652557876559e-08
391.4805555,3.21999636336601e-08
391.8556964,3.18097899372341e-08
392.2307918,3.17508599215152e-08
392.6058414,3.18910804453031e-08
392.9808455,3.12573307114985e-08
393.3558039,3.10027876483068e-08
393.7307166,3.11329887078438e-08
394.1055837,3.08894064012399e-08
394.4804052,3.07817677403823e-08
394.855181,3.09060747937418e-08
395.2299112,3.08005107011889e-08
395.6045957,3.04653600487328e-08
395.9792346,3.01406798953321e-08
396.3538278,3.02237635178904e-08
396.7283754,2.98229911594129e-08
397.1028773,3.02434979974004e-08
397.4773336,2.99983734164567e-08
397.8517442,3.00244614298254e-08
398.2261092,2.93956064756324e-08
398.6004285,2.94549154570437e-08
