"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,2.79372849405351e-06
349.1763299,2.73886894190807e-06
349.5565731,2.78801917199354e-06
349.9367708,2.6574112350506e-06
350.316923,2.64517310749634e-06
350.6970297,2.79990376324327e-06
351.0770909,2.70067775474623e-06
351.4571067,2.56580913608693e-06
351.837077,2.69919562651125e-06
352.2170017,2.7814704818034e-06
352.596881,2.59736664905763e-06
352.9767149,2.57196133855097e-06
353.3565032,2.62735705021278e-06
353.736246,2.56345116071391e-06
354.1159433,2.76160170949046e-06
354.4955952,2.7768324709078e-06
354.8752015,2.68980357447608e-06
355.2547624,2.66514055464096e-06
355.6342777,2.62006836235929e-06
356.0137476,2.5509996536193e-06
356.3931719,2.6970805013124e-06
356.7725508,2.67649525712685e-06
357.1518841,2.59344278257944e-06
357.5311719,2.63065392720392e-06
357.9104143,2.76188979577704e-06
358.2896111,2.70011138277485e-06
358.6687624,2.58174333056625e-06
359.0478682,2.6396440343638e-06
359.4269285,2.6370454157354e-06
359.8059433,2.6437813932235e-06
360.1849125,2.59836425101669e-06
360.5638363,2.66887629542458e-06
360.9427145,2.69324916843388e-06
361.3215472,2.65981088717845e-06
361.7003344,2.54041900865008e-06
362.079076,2.66687451432314e-06
362.4577722,2.57789354144743e-06
362.8364228,2.65833308578551e-06
363.2150279,2.61390584523802e-06
363.5935874,2.58891653493918e-06
363.9721015,2.53678049447321e-06
364.35057,2.62637755643071e-06
364.7289929,2.54081106664246e-06
365.1073704,2.60918120028845e-06
365.4857023,2.53718801230345e-06
365.8639886,2.52008154176408e-06
366.2422294,2.54462242828642e-06
366.6204247,2.56845984989573e-06
366.9985745,2.50236910723611e-06
367.3766787,2.56213840600533e-06
367.7547373,2.53833540869767e-06
368.1327504,2.4623467949299e-06
368.510718,2.48265450427521e-06
368.88864,2.41566317176145e-06
369.2665165,2.52291684872521e-06
369.6443474,2.61079018887825e-06
370.0221328,2.83484295531907e-06
370.3998726,2.93613562786269e-06
370.7775668,2.88788136826119e-06
371.1552155,2.83232627011366e-06
371.5328187,2.56696625596132e-06
371.9103763,2.44535841571979e-06
372.2878883,2.43408747556777e-06
372.6653548,2.51383569385087e-06
373.0427757,2.7165873507168e-06
373.420151,2.67998469913027e-06
373.7974808,2.72438948491082e-06
374.174765,2.76059634594848e-06
374.5520036,2.69233891079522e-06
374.9291967,2.72575080871226e-06
375.3063442,2.73370346294932e-06
375.6834461,2.68193848362945e-06
376.0605024,2.66248480315236e-06
376.4375132,2.60326373000037e-06
376.8144784,2.67424346200777e-06
377.191398,2.68284451058365e-06
377.568272,2.54331111117675e-06
377.9451005,2.68038001878157e-06
378.3218833,2.67192826958719e-06
378.6986206,2.61973699117839e-06
379.0753123,2.57168041919591e-06
379.4519584,2.56673110186501e-06
379.828559,2.62533652777984e-06
380.2051139,2.65228979346346e-06
380.5816232,2.52844203633435e-06
380.958087,2.55328658338042e-06
381.3345051,2.60392559431718e-06
381.7108777,2.49641055185937e-06
382.0872046,2.53391100336797e-06
382.463486,2.53630913347322e-06
382.8397218,2.49551742123489e-06
383.2159119,2.53835469923644e-06
383.5920565,2.48033677658245e-06
383.9681554,2.49771959236656e-06
384.3442088,2.52197116269689e-06
384.7202165,2.53270222069109e-06
385.0961787,2.51633712626602e-06
385.4720952,2.4519675137884e-06
385.8479661,2.47469003208241e-06
386.2237914,2.44074974710555e-06
386.5995711,2.3416672697457e-06
386.9753052,2.34370235143774e-06
387.3509936,2.36725588369702e-06
387.7266364,2.37747921275656e-06
388.1022337,2.40831151407764e-06
388.4777853,2.45241243898207e-06
388.8532912,2.43760415872374e-06
389.2287516,2.39007094210836e-06
389.6041663,2.35623279394318e-06
389.9795354,2.36575964993604e-06
390.3548589,2.38166516464587e-06
390.7301367,2.34428598731882e-06
391.1053689,2.34875578159493e-06
391.4805555,2.30325309644944e-06
391.8556964,2.33451261865681e-06
392.2307918,2.2904070714107e-06
392.6058414,2.31845080135249e-06
392.9808455,2.23663197695535e-06
393.3558039,2.3201679007456e-06
393.7307166,2.30908951396873e-06
394.1055837,2.28896090805005e-06
394.4804052,2.23247410152595e-06
394.855181,2.26503073062626e-06
395.2299112,2.19981152159249e-06
395.6045957,2.20530118571735e-06
395.9792346,2.18171328723824e-06
396.3538278,2.21117595357114e-06
396.7283754,2.19874569851371e-06
397.1028773,2.16391904290136e-06
397.4773336,2.17237636224145e-06
397.8517442,2.16728431456068e-06
398.2261092,2.1276042763007e-06
398.6004285,2.14629802920078e-06
