"wl","rad_cal_mean"
339.27405,0
339.6554751,0
340.0368547,0
340.4181889,0
340.7994776,0
341.1807209,0
341.5619188,0
341.9430712,0
342.3241781,0
342.7052396,0
343.0862557,0
343.4672263,0
343.8481514,0
344.2290311,0
344.6098654,0
344.9906541,0
345.3713975,0
345.7520953,0
346.1327477,0
346.5133546,0
346.8939161,0
347.2744321,0
347.6549026,0
348.0353276,0
348.4157072,0
348.7960413,4.13266314001886e-08
349.1763299,4.3582909263655e-08
349.5565731,4.43121348622211e-08
349.9367708,4.25486378762263e-08
350.316923,4.20224371712286e-08
350.6970297,4.06310063384473e-08
351.0770909,4.13854354250221e-08
351.4571067,4.20997873312327e-08
351.837077,4.04082619536971e-08
352.2170017,4.17745606197484e-08
352.596881,4.27657096961954e-08
352.9767149,4.20653459288593e-08
353.3565032,4.18065669921584e-08
353.736246,4.07638143364619e-08
354.1159433,4.06530948406915e-08
354.4955952,4.1583068032486e-08
354.8752015,4.12287254490676e-08
355.2547624,4.28896399029818e-08
355.6342777,4.2399574206328e-08
356.0137476,4.10938779148406e-08
356.3931719,4.19378819375536e-08
356.7725508,4.3826571091412e-08
357.1518841,4.27618885921699e-08
357.5311719,4.11113579341321e-08
357.9104143,3.89835988918933e-08
358.2896111,3.96420794257762e-08
358.6687624,4.17422435566819e-08
359.0478682,4.03717753925816e-08
359.4269285,4.06529951324978e-08
359.8059433,4.05035733982694e-08
360.1849125,4.14847249180036e-08
360.5638363,4.09498147553688e-08
360.9427145,4.02168932177802e-08
361.3215472,4.02298474218873e-08
361.7003344,4.12159730520597e-08
362.079076,4.09560654668541e-08
362.4577722,3.97654549893625e-08
362.8364228,4.00773938709823e-08
363.2150279,3.90274286526617e-08
363.5935874,3.95350817538123e-08
363.9721015,3.92053935965621e-08
364.35057,3.97566103187492e-08
364.7289929,3.90394233490037e-08
365.1073704,3.94411808577659e-08
365.4857023,3.93692453739261e-08
365.8639886,3.92811019821195e-08
366.2422294,3.88540145524229e-08
366.6204247,3.94541307595706e-08
366.9985745,3.9203717830854e-08
367.3766787,3.84948495127498e-08
367.7547373,3.84771784048254e-08
368.1327504,3.94123908481702e-08
368.510718,4.08000940717121e-08
368.88864,4.02500419348199e-08
369.2665165,4.16291080902985e-08
369.6443474,3.92568845501208e-08
370.0221328,4.15250081823874e-08
370.3998726,4.0019291024924e-08
370.7775668,3.93981671459238e-08
371.1552155,4.1494985652568e-08
371.5328187,4.08651776087293e-08
371.9103763,4.15123537059251e-08
372.2878883,4.11448498622634e-08
372.6653548,4.00527798211313e-08
373.0427757,3.93961348174844e-08
373.420151,4.01497870395993e-08
373.7974808,4.24854240234748e-08
374.174765,4.16321683398909e-08
374.5520036,4.24895948820587e-08
374.9291967,4.15233004843655e-08
375.3063442,4.16806245547683e-08
375.6834461,4.16596462421209e-08
376.0605024,4.04768026624739e-08
376.4375132,4.03366064008781e-08
376.8144784,3.96369394398975e-08
377.191398,3.91301189008084e-08
377.568272,3.86475859316572e-08
377.9451005,3.89013312174578e-08
378.3218833,3.98859702895256e-08
378.6986206,3.83974707480708e-08
379.0753123,3.91800132073295e-08
379.4519584,3.81526833089269e-08
379.828559,3.94844357113124e-08
380.2051139,3.80075711553184e-08
380.5816232,3.83556382001416e-08
380.958087,3.79938788171149e-08
381.3345051,3.86471686202827e-08
381.7108777,3.83584220617122e-08
382.0872046,3.81458220942194e-08
382.463486,3.79410041092881e-08
382.8397218,3.79963264701027e-08
383.2159119,3.78997271607851e-08
383.5920565,3.74912223979943e-08
383.9681554,3.68765459098733e-08
384.3442088,3.74697679167448e-08
384.7202165,3.61805819877304e-08
385.0961787,3.76461000447075e-08
385.4720952,3.64418661145101e-08
385.8479661,3.69639672517941e-08
386.2237914,3.60490903996281e-08
386.5995711,3.51819007502087e-08
386.9753052,3.52849389282446e-08
387.3509936,3.51302844754495e-08
387.7266364,3.60370005082134e-08
388.1022337,3.63169653646323e-08
388.4777853,3.56844799075586e-08
388.8532912,3.510530958595e-08
389.2287516,3.58015848044019e-08
389.6041663,3.54010847428204e-08
389.9795354,3.55142054048024e-08
390.3548589,3.52183863866034e-08
390.7301367,3.45739310843457e-08
391.1053689,3.46022789505079e-08
391.4805555,3.49717409025764e-08
391.8556964,3.49379253955847e-08
392.2307918,3.4677509511485e-08
392.6058414,3.45211760303077e-08
392.9808455,3.43108512360069e-08
393.3558039,3.43431448328552e-08
393.7307166,3.37354191841495e-08
394.1055837,3.4294452602011e-08
394.4804052,3.34485661378822e-08
394.855181,3.39819473690726e-08
395.2299112,3.30981692093598e-08
395.6045957,3.32371400418629e-08
395.9792346,3.26347922510515e-08
396.3538278,3.26385370635824e-08
396.7283754,3.29717629221089e-08
397.1028773,3.30087268037447e-08
397.4773336,3.30023012433135e-08
397.8517442,3.21799206670509e-08
398.2261092,3.21376187443088e-08
398.6004285,3.22711472167333e-08
